"iteration,time";
1000;0
2000;0
3000;0
4000;0
5000;1
6000;1
7000;1
8000;2
9000;2
10000;2
11000;2
12000;3
13000;3
14000;3
15000;4
16000;4
17000;4
18000;5
19000;5
20000;5
21000;6
22000;6
23000;6
24000;6
25000;7
26000;8
27000;7
28000;8
29000;8
30000;8
31000;9
32000;9
33000;9
34000;10
35000;10
36000;11
37000;10
38000;11
39000;11
40000;12
41000;12
42000;12
43000;13
44000;13
45000;13
46000;13
47000;14
48000;14
49000;15
50000;15
51000;15
52000;15
53000;16
54000;16
55000;17
56000;17
57000;17
58000;18
59000;18
60000;19
61000;18
62000;19
63000;19
64000;20
65000;20
66000;20
67000;20
68000;21
69000;22
70000;21
71000;22
72000;22
73000;24
74000;23
75000;23
76000;23
77000;25
78000;24
79000;24
80000;25
81000;25
82000;26
83000;26
84000;28
85000;29
86000;34
87000;37
88000;30
89000;31
90000;29
91000;29
92000;34
93000;32
94000;30
95000;31
96000;30
97000;31
98000;31
99000;31
100000;32
101000;32
102000;33
103000;34
104000;33
105000;34
106000;35
107000;34
108000;35
109000;37
110000;36
111000;37
112000;36
113000;36
114000;37
115000;37
116000;43
117000;38
118000;39
119000;38
120000;40
121000;39
122000;40
123000;42
124000;43
125000;49
126000;41
127000;44
128000;45
129000;47
130000;45
131000;49
132000;46
133000;50
134000;46
135000;53
136000;54
137000;48
138000;49
139000;49
140000;52
141000;50
142000;51
143000;51
144000;51
145000;49
146000;50
147000;50
148000;49
149000;51
150000;50
151000;51
152000;50
153000;51
154000;52
155000;54
156000;54
157000;52
158000;54
159000;56
160000;53
161000;56
162000;55
163000;60
164000;57
165000;55
166000;56
167000;57
168000;56
169000;57
170000;57
171000;59
172000;59
173000;58
174000;59
175000;63
176000;59
177000;61
178000;61
179000;60
180000;61
181000;62
182000;60
183000;62
184000;63
185000;62
186000;63
187000;68
188000;73
189000;67
190000;65
191000;66
192000;66
193000;65
194000;67
195000;67
196000;66
197000;68
198000;68
199000;69
200000;67
201000;69
202000;70
203000;69
204000;70
205000;73
206000;80
207000;90
208000;72
209000;72
210000;72
211000;74
212000;74
