"iteration,time";
25;0
50;0
75;0
100;0
125;1
150;2
175;4
200;5
225;7
250;10
275;13
300;17
325;22
350;29
375;33
400;40
425;49
450;61
475;71
500;79
525;93
550;106
575;120
600;134
625;156
650;176
675;199
700;222
725;246
750;270
775;296
800;330
825;362
850;390
875;424
900;470
925;501
950;551
975;606
1000;627
1025;677
1050;732
1075;782
1100;842
1125;898
1150;945
1175;1012
1200;1060
1225;1140
1250;1323
1275;1278
1300;1370
1325;1436
1350;1537
1375;1596
1400;1726
1425;1820
1450;1963
1475;2009
1500;2156
1525;2235
